"id","imdbID","r1","r2","r3"
"233","tt0083907","tt0106308","tt0092991","tt0219699"
"234","tt0092997","tt0116830","tt0099044","tt0083511"
"235","tt0093029","tt0112688","tt0111161","tt0102926"
"236","tt0093036","tt0167404","tt0120620","tt0163676"
"237","tt0093044","tt0081070","tt0155267","tt0068473"
"238","tt0093073","tt0068646","tt0078788","tt0084445"
"239","tt0093200","tt0092948","tt0101891","tt0107563"
"240","tt0093209","tt0070948","tt0490499","tt0112346"
"241","tt0093225","tt0085859","tt0082477","tt0106379"
"242","tt0093260","tt0122718","tt0318155","tt0089114"
"243","tt0093278","tt0068687","tt0112760","tt0111301"
"244","tt0093300","tt0068323","tt0072251","tt0076342"
"245","tt0093405","tt0109439","tt0086393","tt0073282"
"246","tt0093407","tt0149367","tt0116762","tt0098524"
"247","tt0093418","tt0097637","tt0090142","tt0091738"
"248","tt0093437","tt0155711","tt0099582","tt0114825"
"249","tt0093467","tt0118566","tt0087054","tt0107048"
"250","tt0093476","tt0084695","tt0112642","tt0109813"
"251","tt0093477","tt0089017","tt0098309","tt0439478"
"252","tt0093493","tt0113538","tt0107048","tt0089853"
"253","tt0093507","tt0076759","tt0080684","tt0086190"
"254","tt0093560","tt0107978","tt0132347","tt0103893"
"255","tt0093562","tt0112679","tt0119381","tt0230838"
"256","tt0093567","tt0091790","tt0191996","tt0113228"
"257","tt0093589","tt0112896","tt0099700","tt0093220"
"258","tt0093638","tt0090770","tt0116260","tt0113451"
"259","tt0192111","tt0425123","tt0821640","tt0119324"
"260","tt0190524","tt0283644","tt0099587","tt0417976"
"261","tt0242998","tt0146336","tt0113690","tt0110604"
"262","tt0118694","tt0109424","tt0109688","tt0101258"
"263","tt0120753","tt0119062","tt0087884","tt0101458"
"264","tt0250478","tt0114885","tt0113537","tt0115639"
"265","tt0212985","tt2193215","tt0094008","tt0103074"
"266","tt0239948","tt0271668","tt0437863","tt0762107"
"267","tt0230783","tt0168446","tt0837106","tt0985058"
"268","tt0216787","tt0114885","tt0113537","tt0115639"
"269","tt0190861","tt0097336","tt0114345","tt0111454"
"270","tt0231775","tt0276751","tt0163651","tt0385267"
"271","tt0265632","tt0111333","tt0118829","tt0120630"
"272","tt0230838","tt0112679","tt0119381","tt0114887"
"273","tt0249893","tt0116669","tt0101775","tt0102250"
"274","tt0166276","tt0107688","tt0327597","tt0116683"
"275","tt0233142","tt0098439","tt0113845","tt0112442"
"276","tt0191636","tt0144201","tt0363532","tt0117477"
"277","tt0236493","tt0384680","tt1192628","tt0119715"
"278","tt0250720","tt1464174","tt0328099","tt0421729"
"279","tt0251031","tt0113161","tt0111503","tt0111127"
"280","tt0179626","tt0115438","tt0473188","tt0113277"
"281","tt0192071","tt0137386","tt0327679","tt0360201"
"282","tt0212380","tt0126344","tt0119743","tt0114885"
"283","tt0161977","tt0430651","tt0094822","tt0259711"
"284","tt0099073","tt0087781","tt0109635","tt0117665"
"285","tt0031742","tt0038235","tt0053183","tt0040109"
"286","tt0082912","tt0089424","tt0101373","tt0113277"
"287","tt0090213","tt0087050","tt0113277","tt0112819"
"288","tt0100842","tt0113080","tt0103130","tt0105411"
"289","tt0039190","tt0042546","tt0041257","tt0041509"
"290","tt0060424","tt0053604","tt0071524","tt0053291"
"291","tt0057251","tt0073901","tt0062794","tt0056406"
"292","tt0044685","tt0049815","tt0036723","tt0058385"
"293","tt0059245","tt0049261","tt0056172","tt0046435"
"294","tt0053793","tt0051459","tt0047162","tt0061809"
"295","tt0060086","tt0085478","tt0098319","tt0054310"
"296","tt0046899","tt0042286","tt0050086","tt0057523"
"297","tt0113026","tt0109480","tt0068334","tt0120133"
"298","tt0037800","tt0040725","tt0036112","tt0039192"
"299","tt0066740","tt0068503","tt0112896","tt0099700"
"300","tt0079781","tt0101698","tt0117091","tt0164108"
"301","tt0099385","tt0111400","tt0117011","tt0114576"
"302","tt0101764","tt0193364","tt0114576","tt0111438"
"303","tt0077504","tt0083064","tt0074564","tt0117765"
"304","tt0102005","tt0105813","tt0115781","tt0090350"
"305","tt0100140","tt0117104","tt0110516","tt0110950"
"306","tt0097880","tt0104627","tt0119099","tt0328107"
"307","tt0100232","tt0085382","tt0089370","tt0112864"
"308","tt0091474","tt0369339","tt0430357","tt0113277"
"309","tt0100486","tt0115645","tt0118966","tt0105414"
"310","tt0077413","tt0072308","tt0074751","tt0088146"
"311","tt0097179","tt0090605","tt0118583","tt0080761"
"312","tt0088000","tt0103184","tt0092105","tt0098519"
"313","tt0093857","tt0265029","tt0388419","tt0088000"
"314","tt0100049","tt0101787","tt0105165","tt0384929"
"315","tt0118540","tt0116404","tt0104797","tt0236388"
"316","tt0091860","tt0108026","tt0116289","tt0084783"
"317","tt0089208","tt0090685","tt0110857","tt0160236"
"318","tt0071771","tt0073133","tt0117765","tt0048966"
"319","tt0102517","tt0120742","tt0085970","tt0098308"
"320","tt0215750","tt0082484","tt0101316","tt0074972"
"321","tt0242445","tt0306685","tt0165929","tt0116421"
"322","tt0205873","tt0118826","tt0100557","tt0112346"
"323","tt0209144","tt0154506","tt0278504","tt0482571"
"324","tt0125022","tt0106673","tt0116531","tt0120032"
"325","tt0239949","tt0252866","tt0095927","tt0280720"
"326","tt0244970","tt0434139","tt0119822","tt0198021"
"327","tt0227538","tt0287717","tt0338459","tt0424774"
"328","tt0246989","tt0111048","tt0252866","tt0114885"
"329","tt0236784","tt0068473","tt0112495","tt0076009"
"330","tt0245712","tt1663202","tt0315733","tt0396688"
"331","tt0247380","tt0058985","tt0055852","tt0112646"
"332","tt0164334","tt0110729","tt0117107","tt0119051"
"333","tt0221027","tt0110955","tt0123964","tt0115639"
"334","tt0189192","tt0108500","tt0084555","tt0112896"
"335","tt0266860","tt0190641","tt0210234","tt0313487"
"336","tt0238588","tt0061648","tt0114388","tt0114117"
"337","tt0243155","tt0317198","tt0116695","tt0120861"
"338","tt0245686","tt0286788","tt0120321","tt0105629"
"339","tt0236348","tt0127723","tt0109068","tt0116790"
"340","tt0221073","tt0443680","tt1764234","tt0109382"
"341","tt0210149","tt0107286","tt0110955","tt0120885"
"342","tt0231402","tt0114048","tt0117331","tt0106965"
"343","tt0240515","tt0328828","tt0327643","tt0114885"
"344","tt0240402","tt0118851","tt0252076","tt0114478"
"345","tt0086250","tt0106519","tt0105217","tt0094226"
"346","tt0055895","tt0059243","tt0055972","tt0054698"
"347","tt0132245","tt0112760","tt0106582","tt0116908"
"348","tt0245120","tt1082868","tt1179891","tt0113690"
"349","tt0203755","tt0838232","tt0114681","tt0313911"
"350","tt0141907","tt0102014","tt0113133","tt0240890"
"351","tt0209163","tt0120616","tt0338526","tt0859163"
"352","tt0240913","tt0324133","tt0139564","tt1504429"
"353","tt0056937","tt0024481","tt0042192","tt0039420"
"354","tt0085811","tt0062765","tt0075925","tt0076759"
"355","tt0089504","tt0082764","tt0117091","tt0164108"
"356","tt0016039","tt0029162","tt0024216","tt0053085"
"357","tt0025913","tt0090015","tt0048434","tt1332128"
"358","tt0098524","tt0094035","tt0102945","tt0113845"
"359","tt0084917","tt0076723","tt0069280","tt0070735"
"360","tt0062776","tt0120491","tt0120655","tt1240982"
"361","tt0064940","tt0074291","tt0056801","tt0069191"
"362","tt0069191","tt0071129","tt0064940","tt0059229"
"363","tt0060429","tt0045152","tt0025164","tt0051658"
"364","tt0101912","tt0091653","tt0087265","tt0109758"
"365","tt0107130","tt0081207","tt0108451","tt0093029"
"366","tt0058453","tt0049777","tt0051406","tt0047437"
"367","tt0152015","tt2076220","tt0058450","tt0061495"
"368","tt0101902","tt0079826","tt0404163","tt0115951"
"369","tt0080319","tt0077578","tt0062711","tt0219854"
"370","tt0079638","tt0089643","tt0074554","tt0100680"
"371","tt0090098","tt0120318","tt0094072","tt0086873"
"372","tt0045464","tt0029583","tt0032910","tt0047977"
"373","tt0066011","tt0075409","tt0103747","tt0068909"
"374","tt0048021","tt0039224","tt0058672","tt0040636"
"375","tt0183790","tt0304711","tt0113071","tt0120053"
"376","tt0212826","tt0110296","tt0151691","tt0099768"
"377","tt0208911","tt0331525","tt2720680","tt0114702"
"378","tt0256408","tt0108515","tt0308672","tt0391024"
"379","tt0225071","tt0111693","tt0103251","tt0139462"
"380","tt0126029","tt0298148","tt0307453","tt0413267"
"381","tt0206742","tt0114885","tt0113819","tt0118002"
"382","tt0203009","tt0117509","tt0455824","tt1343092"
"383","tt0213149","tt0120591","tt0399201","tt0418279"
"384","tt0206917","tt0120275","tt0381717","tt0106332"
"385","tt0102343","tt0119528","tt0120791","tt0141098"
"386","tt0100395","tt0091188","tt0115685","tt0119942"
"387","tt0046719","tt0061578","tt0047647","tt0056687"
"388","tt0074254","tt0081353","tt0083745","tt0078481"
"389","tt0101587","tt0111256","tt0107091","tt0180052"
"390","tt0095082","tt0111112","tt0093509","tt0286179"
"391","tt0052902","tt0049730","tt0056217","tt0042895"
"392","tt0095647","tt0077928","tt0289992","tt0111001"
"393","tt0054047","tt0057115","tt0052027","tt0061578"
"394","tt0053221","tt0056059","tt0032599","tt0036241"
"395","tt0078227","tt0092214","tt0111094","tt0080634"
"396","tt0094082","tt0097579","tt0070077","tt0114307"
"397","tt0094142","tt0266452","tt0117008","tt0098621"
"398","tt0244316","tt0061495","tt0054698","tt0050105"
"399","tt0110631","tt0119791","tt1024942","tt0113690"
"400","tt0060934","tt0035015","tt0045679","tt0056626"
"401","tt0041996","tt0042531","tt0045162","tt0034092"
"402","tt0059885","tt0071455","tt0051776","tt0052151"
"403","tt0255798","tt0491152","tt0265208","tt1924435"
"404","tt0161083","tt0112606","tt0129280","tt0119190"
"405","tt0251075","tt0110216","tt0465624","tt0106673"
"406","tt0244244","tt0107302","tt0187078","tt0365929"
"407","tt0254099","tt0209322","tt0114885","tt0113537"
"408","tt0212827","tt0092580","tt0116827","tt0086423"
"409","tt0234288","tt0401488","tt0120716","tt0064952"
"410","tt0065528","tt0119942","tt0096463","tt0091188"
"411","tt0102685","tt0114558","tt0093605","tt0099160"
"412","tt0086508","tt0067541","tt0112740","tt0083944"
"413","tt0105699","tt0094608","tt0109198","tt0118887"
"414","tt0092272","tt0087425","tt0094712","tt0090060"
"415","tt0045810","tt0036241","tt0044916","tt0037382"
"416","tt0045891","tt0038622","tt0052619","tt0046435"
"417","tt0048605","tt0053604","tt0053291","tt0050658"
"418","tt0047574","tt0031580","tt0049408","tt0042327"
"419","tt0084805","tt0114319","tt0089755","tt0070903"
"420","tt0090770","tt0086589","tt0093638","tt0116260"
"421","tt0230011","tt0101414","tt0116583","tt0110478"
"422","tt0146316","tt0325703","tt1764651","tt0113855"
"423","tt0240462","tt0317303","tt0338094","tt1114740"
"424","tt0232500","tt1013752","tt0192614","tt1596343"
"425","tt0212720","tt0107290","tt0119567","tt0407304"
"426","tt0255819","tt0430105","tt0113305","tt0101507"
"427","tt0250224","tt0300532","tt0378109","tt0368709"
"428","tt0258038","tt0107977","tt0799949","tt1421373"
"429","tt0203119","tt1441395","tt0118647","tt0324127"
"430","tt0203632","tt0246677","tt0401711","tt0130827"
"431","tt0243493","tt0119038","tt0085354","tt0449851"
"432","tt0228786","tt0348836","tt0113247","tt0110413"
"433","tt0246765","tt0058715","tt0337824","tt0045296"
"434","tt0239395","tt0362165","tt0109813","tt0114658"
"435","tt0271027","tt0306685","tt0281820","tt0107843"
"436","tt0257106","tt0110399","tt0175142","tt0095348"
"437","tt0245238","tt0209322","tt0421994","tt0114885"
"438","tt0249380","tt0067800","tt0053976","tt0057997"
"439","tt0224578","tt0112767","tt0107617","tt1270842"
"440","tt0099012","tt0089853","tt1605783","tt0113819"
"441","tt0094663","tt0093940","tt0097965","tt0089853"
"442","tt0058953","tt0059287","tt0050419","tt0092608"
"443","tt0052216","tt0082206","tt0025878","tt0036613"
"444","tt0082136","tt0087032","tt0081529","tt0076729"
"445","tt0087032","tt0082136","tt0081529","tt0076729"
"446","tt0098369","tt0093756","tt0109370","tt0110093"
"447","tt0058249","tt0042804","tt0061395","tt0055601"
"448","tt0057007","tt0045061","tt0031971","tt0049730"
"449","tt0016847","tt0015064","tt0013496","tt0013442"
"450","tt0015064","tt0016847","tt0018455","tt0013496"
"451","tt0056217","tt0049730","tt0052902","tt0042895"
"452","tt0091886","tt0102138","tt0113987","tt0120399"
"453","tt0093940","tt0094663","tt0097965","tt0089853"
"454","tt0105378","tt0158371","tt0256524","tt0107507"
"455","tt0091983","tt0095593","tt0102926","tt0081150"
"456","tt0059740","tt0054127","tt0065126","tt0056085"
"457","tt0069372","tt0106598","tt0070707","tt0088763"
"458","tt0059878","tt0050177","tt0054594","tt0057518"
"459","tt0082163","tt0080520","tt0078446","tt0087042"
"460","tt0047811","tt0047203","tt0049966","tt0052918"
"461","tt0046754","tt0042792","tt0042192","tt0039420"
"462","tt0069467","tt0057611","tt0083922","tt0077711"
"463","tt0053796","tt0055506","tt0051879","tt0100361"
"464","tt0065777","tt0054749","tt0111579","tt0034493"
"465","tt0093227","tt0089308","tt0097100","tt0112896"
"466","tt0048261","tt0073133","tt0038355","tt0071771"
"467","tt0063227","tt0113987","tt0056172","tt0083987"
"468","tt0055184","tt0054428","tt0043265","tt0043961"
"469","tt0049513","tt0043265","tt0040897","tt0040506"
"470","tt0051036","tt0044876","tt0038669","tt0041268"
"471","tt0049966","tt0047811","tt0052918","tt0047203"
"472","tt0074991","tt0082085","tt0105217","tt0120832"
"473","tt0076786","tt0087909","tt0073582","tt0111686"
"474","tt0068767","tt0067824","tt0094731","tt0085276"
"475","tt0082176","tt0097714","tt0106453","tt0765432"
"476","tt0067824","tt0068767","tt0070034","tt0113277"
"477","tt0089461","tt0074281","tt0092897","tt0082138"
"478","tt0082869","tt0111438","tt0095897","tt0100224"
"479","tt0068935","tt0113845","tt0112442","tt0112887"
"480","tt0163862","tt0113303","tt0113497","tt0114857"
"481","tt0173840","tt0111301","tt0111143","tt0120755"
"482","tt0250494","tt0335559","tt1103153","tt0369735"
"483","tt0227445","tt0117665","tt0118887","tt0289765"
"484","tt0242193","tt0127722","tt0113540","tt0247425"
"485","tt0227005","tt2883512","tt0117802","tt0114681"
"486","tt0188913","tt0345950","tt0441773","tt3723996"
"487","tt0278475","tt0107688","tt0116683","tt0117705"
"488","tt0094606","tt0082089","tt0113117","tt0085244"
"489","tt0094608","tt0105699","tt0109198","tt0102926"
"490","tt0094602","tt0098051","tt0105690","tt0120787"
"491","tt0096764","tt0071853","tt0081633","tt0076221"
"492","tt0094667","tt0280870","tt0116260","tt0116731"
"493","tt0094678","tt0082031","tt0066402","tt0061581"
"494","tt0094701","tt0115963","tt0111418","tt0314786"
"495","tt0094712","tt0092272","tt0087425","tt0086510"
"496","tt0094715","tt0123209","tt0087265","tt0091653"
"497","tt0094716","tt0118531","tt0110944","tt0114898"
"498","tt0094739","tt0091877","tt0080339","tt0088286"
