"","imdbID","r1","r2","r3"
"145","tt0113114","tt0106965","tt0119152","tt0112342"
"146","tt0113243","tt0272152","tt0106339","tt0111709"
"147","tt0113464","tt0114885","tt0114681","tt0113118"
"148","tt0113481","tt0113492","tt0114614","tt0114857"
"149","tt0113492","tt0106697","tt0112401","tt0113481"
"150","tt0113500","tt0120770","tt0109361","tt0108186"
"151","tt0113540","tt0127722","tt0242193","tt0209077"
"152","tt0113677","tt0119987","tt0412637","tt0118113"
"153","tt0113690","tt0093177","tt0054215","tt0082418"
"154","tt0107447","tt0338135","tt0090985","tt0097635"
"155","tt0113729","tt0110889","tt0112679","tt0116621"
"156","tt0113749","tt0118842","tt1007028","tt0109445"
"157","tt0113820","tt0119640","tt0120389","tt0120856"
"158","tt0113851","tt0120703","tt0090583","tt0114885"
"159","tt0110604","tt0118604","tt0113690","tt0113303"
"160","tt0110620","tt0171359","tt0096321","tt0117002"
"161","tt0113957","tt0132512","tt0352277","tt0101984"
"162","tt0113986","tt0095288","tt0102598","tt1032815"
"163","tt0114095","tt0120531","tt0280720","tt0114550"
"164","tt0114194","tt0114608","tt0103919","tt0118643"
"165","tt0114323","tt0120879","tt0297884","tt0368794"
"166","tt0114345","tt0087553","tt0190861","tt0114496"
"167","tt0114436","tt0103772","tt0073233","tt0081547"
"168","tt0114478","tt0112541","tt0408985","tt0107282"
"169","tt0114496","tt0102590","tt0402894","tt0462338"
"170","tt0114508","tt0109890","tt0120841","tt0093640"
"171","tt0114558","tt0093605","tt0099160","tt0102685"
"172","tt0058450","tt0055093","tt0028216","tt0111797"
"173","tt0114666","tt0116260","tt0113451","tt0110365"
"174","tt0114663","tt0107443","tt0089886","tt0102753"
"175","tt0114702","tt0120481","tt0174268","tt0096280"
"176","tt0114682","tt0120257","tt0317198","tt0120791"
"177","tt0114781","tt0104299","tt0116253","tt0105690"
"178","tt0114798","tt0117038","tt0114319","tt0112302"
"179","tt0114805","tt0112541","tt0109508","tt0112651"
"180","tt0114887","tt0103994","tt0230838","tt0337741"
"181","tt0114898","tt0102798","tt0245844","tt0110944"
"182","tt0114928","tt0116508","tt0144214","tt1480295"
"183","tt0114938","tt0088194","tt0116830","tt0092997"
"184","tt0109340","tt0113627","tt0126859","tt0107611"
"185","tt0112602","tt0095519","tt0104905","tt0098627"
"186","tt0111579","tt0488478","tt0097441","tt0087553"
"187","tt0110882","tt0110081","tt0114671","tt0114787"
"188","tt0112471","tt0381681","tt2209418","tt0275719"
"189","tt0112508","tt0275022","tt0118702","tt0120693"
"190","tt0112438","tt0288439","tt0105226","tt0120303"
"191","tt0112571","tt0076095","tt0085919","tt0098384"
"192","tt0112757","tt0120303","tt0092546","tt0112302"
"193","tt0112643","tt0089885","tt0264508","tt0328031"
"194","tt0112679","tt0230838","tt0119381","tt0113729"
"195","tt0109445","tt0424345","tt0261392","tt0113749"
"196","tt0112883","tt0112346","tt0113347","tt0113321"
"197","tt0109635","tt0117665","tt0094155","tt0120885"
"198","tt0112899","tt0276816","tt0103303","tt0114576"
"199","tt0109676","tt0113972","tt0119365","tt0094025"
"200","tt0112854","tt0116367","tt0119535","tt0265713"
"201","tt0109579","tt0071315","tt0104779","tt0142688"
"202","tt0109642","tt0118971","tt0106469","tt0086859"
"203","tt0109686","tt2096672","tt0116778","tt0183505"
"204","tt0111797","tt0107156","tt0105652","tt0114388"
"205","tt0109759","tt0120255","tt0273435","tt0373450"
"206","tt0109758","tt0100405","tt0101912","tt0119229"
"207","tt0109707","tt0162661","tt0408236","tt0099487"
"208","tt0113117","tt0090022","tt0101969","tt0085244"
"209","tt0113097","tt0104928","tt0119109","tt0099012"
"210","tt0113028","tt0089731","tt0110557","tt0085622"
"211","tt0113198","tt0120855","tt0211181","tt0461770"
"212","tt0113303","tt0104692","tt0445965","tt0114857"
"213","tt0113089","tt0113419","tt0111112","tt0038650"
"214","tt0109771","tt0110116","tt0106339","tt0108551"
"215","tt0113199","tt0112431","tt0104940","tt0087755"
"216","tt0109906","tt0115645","tt0113243","tt0113957"
"217","tt0110057","tt0119937","tt0334416","tt2382298"
"218","tt0110005","tt0112641","tt0112461","tt0116365"
"219","tt0110066","tt0116705","tt0120142","tt0914797"
"220","tt0110116","tt0109771","tt0103919","tt0091954"
"221","tt0110006","tt0280590","tt0111070","tt0112435"
"222","tt0113360","tt0112740","tt0114069","tt0107096"
"223","tt0110099","tt0093886","tt0104926","tt2380331"
"224","tt0110148","tt1531901","tt0120710","tt0087075"
"225","tt0113463","tt0384686","tt0117791","tt0200669"
"226","tt0110189","tt0119229","tt0071521","tt1389096"
"227","tt0110216","tt0106673","tt0465624","tt0119109"
"228","tt0113501","tt0107969","tt0104802","tt0398712"
"229","tt0113538","tt0093493","tt0116151","tt0108255"
"230","tt0113552","tt0118966","tt0264935","tt0119094"
"231","tt0076759","tt0080684","tt0086190","tt0120915"
"232","tt0110367","tt0472071","tt0119843","tt0087751"
"233","tt0113670","tt0304141","tt0108071","tt0119223"
"234","tt0110296","tt0151691","tt0212826","tt0099768"
"235","tt0103994","tt0114887","tt0114885","tt0113627"
"236","tt0110322","tt0097441","tt0090583","tt0758752"
"237","tt0110443","tt0117102","tt0098442","tt0106701"
"238","tt0110365","tt0138946","tt0498399","tt1103275"
"239","tt0107566","tt0116442","tt0113101","tt0173390"
"240","tt0110391","tt0119896","tt0112346","tt0094884"
"241","tt0113691","tt0119305","tt0103859","tt0107286"
"242","tt0110428","tt0115988","tt0120772","tt0210616"
"243","tt0109836","tt0105130","tt0101669","tt0107616"
"244","tt0113755","tt0155753","tt0100201","tt0112302"
"245","tt0110538","tt0108160","tt0117038","tt0128853"
"246","tt0110516","tt0117104","tt0100140","tt0107478"
"247","tt0110527","tt0119137","tt0109813","tt0104187"
"248","tt0113808","tt0458352","tt1535438","tt0822832"
"249","tt0113896","tt0123324","tt0085482","tt0445935"
"250","tt0113870","tt0105810","tt0208874","tt0110413"
"251","tt0110684","tt0119594","tt0101453","tt0099165"
"252","tt0110638","tt0095243","tt0278435","tt0109297"
"253","tt0113967","tt0104693","tt0186045","tt0113277"
"254","tt0110632","tt0120399","tt0094291","tt1615065"
"255","tt0110737","tt0093565","tt0115725","tt0057581"
"256","tt0110729","tt0117107","tt0119051","tt0164334"
"257","tt0114151","tt0479537","tt0116260","tt0116731"
"258","tt0114069","tt0107206","tt0082096","tt0118571"
"259","tt0110413","tt2404311","tt0095250","tt0100263"
"260","tt0114113","tt0265343","tt0808399","tt0102456"
"261","tt0110912","tt0105236","tt3460252","tt0119396"
"262","tt0105652","tt0111797","tt0107156","tt1127896"
"263","tt0110889","tt0113729","tt0129332","tt0120520"
"264","tt0110932","tt0968264","tt0119314","tt0146984"
"265","tt0114129","tt0120834","tt0112346","tt0113347"
"266","tt0110963","tt0094828","tt0256103","tt0113987"
"267","tt0114214","tt0120324","tt0099365","tt0758774"
"268","tt0114296","tt0078902","tt0074923","tt0085461"
"269","tt0110907","tt0108122","tt0105151","tt0073440"
"270","tt0111495","tt0108394","tt0111507","tt0101765"
"271","tt0108394","tt0111495","tt0101765","tt0111507"
"272","tt0111507","tt0111495","tt0108394","tt0101765"
"273","tt0110769","tt0114885","tt0113627","tt0114057"
"274","tt0114571","tt0117108","tt0230030","tt0090856"
"275","tt0111333","tt0160429","tt0082406","tt0088814"
"276","tt0111112","tt0095082","tt0113419","tt0113089"
"277","tt0111255","tt0108171","tt0112641","tt0208988"
"278","tt0111282","tt0116629","tt0319262","tt1190080"
"279","tt0111070","tt0119432","tt0279889","tt0452681"
"280","tt0111161","tt0120689","tt0114369","tt0119468"
"281","tt0111149","tt0117951","tt0119535","tt0163978"
"282","tt0108260","tt0250323","tt0387059","tt1086216"
"283","tt0106966","tt0114885","tt0113537","tt0115639"
"284","tt0114594","tt0110955","tt0208092","tt0098282"
"285","tt0111309","tt0134618","tt0114885","tt0114681"
"286","tt0113936","tt0116768","tt0130121","tt0078446"
"287","tt0110081","tt0093206","tt0115012","tt0101640"
"288","tt0114614","tt0101917","tt0113481","tt0119013"
"289","tt0114608","tt0111323","tt0115783","tt0166110"
"290","tt0111280","tt0120844","tt0117731","tt0253754"
"291","tt0114609","tt0106880","tt1333125","tt0113690"
"292","tt0111454","tt0120514","tt0102555","tt0116621"
"293","tt0114852","tt0077651","tt0084787","tt0120877"
"294","tt0114694","tt0110622","tt0117119","tt0144528"
"295","tt0111590","tt0082783","tt0080388","tt0104237"
"296","tt0114788","tt0181865","tt2053463","tt0098724"
"297","tt0114888","tt0937375","tt0114279","tt0113107"
"298","tt0108550","tt0124315","tt0241303","tt0989757"
"299","tt0114857","tt0104692","tt0113481","tt0113492"
"300","tt0114924","tt0117333","tt0106611","tt0219854"
"301","tt0111667","tt0118055","tt0101921","tt0119994"
"302","tt0109655","tt0328589","tt0112346","tt0114168"
"303","tt0110598","tt0119738","tt1093908","tt0114885"
"304","tt0112435","tt0110006","tt0111070","tt0116493"
"305","tt0109040","tt0119528","tt0315327","tt0117218"
"306","tt0109045","tt0120491","tt0120662","tt0808244"
"307","tt0106339","tt0120520","tt0113243","tt0109771"
"308","tt0104779","tt0109579","tt0071315","tt0142688"
"309","tt0109348","tt0113819","tt0116242","tt0079522"
"310","tt0109444","tt0105112","tt0944835","tt0120053"
"311","tt0109446","tt0134273","tt0112462","tt0117913"
"312","tt0109484","tt0111590","tt0114924","tt0110167"
"313","tt0109504","tt0112688","tt0116414","tt0104797"
"314","tt0109506","tt0118929","tt0280696","tt0105219"
"315","tt0109450","tt0096943","tt0105812","tt0117918"
"316","tt0109813","tt0116705","tt0158622","tt0281373"
"317","tt0109830","tt0162222","tt0161081","tt0118884"
"318","tt0109831","tt0120797","tt0484740","tt0111201"
"319","tt0113305","tt0107840","tt0255819","tt0101507"
"320","tt0110093","tt0092605","tt0113041","tt0101862"
"321","tt0110167","tt0104438","tt0117765","tt0093565"
"322","tt0110213","tt0106223","tt0093779","tt0118956"
"323","tt0107472","tt0455507","tt1262986","tt0113270"
"324","tt0110357","tt0112453","tt0164912","tt0243585"
"325","tt0107426","tt0093389","tt0117737","tt0100594"
"326","tt0111686","tt0114825","tt0087800","tt0117571"
"327","tt0110475","tt0181316","tt0277296","tt0106292"
"328","tt0110478","tt0089218","tt0078346","tt0118883"
"329","tt0110588","tt0314630","tt0118566","tt0087054"
"330","tt0110622","tt0102510","tt0095705","tt0398165"
"331","tt0110771","tt0091159","tt0084412","tt0131369"
"332","tt0110950","tt0115798","tt0100140","tt0196229"
"333","tt0105226","tt0110308","tt0128442","tt0097662"
"334","tt0110989","tt0120764","tt0109783","tt0109891"
"335","tt0111054","tt0806165","tt0109446","tt0107501"
"336","tt0110997","tt0106977","tt0111143","tt0119488"
"337","tt0111257","tt0120179","tt0102685","tt2911666"
"338","tt0111256","tt0107091","tt0101587","tt0180052"
"339","tt0111438","tt0114576","tt0082869","tt0091875"
"340","tt0111503","tt0103064","tt0088247","tt0090605"
"341","tt0111693","tt0225071","tt0103251","tt0139462"
"342","tt0111742","tt0096463","tt0091188","tt0066892"
"343","tt0111756","tt0090022","tt0113117","tt0101969"
"344","tt0112443","tt0188055","tt0098160","tt0116260"
"345","tt0110455","tt0111201","tt0115744","tt0340012"
"346","tt0111048","tt0116361","tt0126886","tt0242508"
"347","tt0110399","tt0095348","tt0116421","tt0175142"
"348","tt0112570","tt0206226","tt0110299","tt0106473"
"349","tt0109454","tt0082370","tt0105682","tt0420555"
"350","tt0059170","tt0112760","tt0113845","tt0117110"
"351","tt0110186","tt0102065","tt0117603","tt0116361"
"352","tt0108069","tt0104361","tt0107692","tt0093207"
"353","tt0111301","tt0112760","tt0107362","tt0117420"
"354","tt0113014","tt0114681","tt0114814","tt0115734"
"355","tt0109339","tt0112646","tt0107472","tt0109934"
"356","tt0110027","tt0113855","tt0112462","tt0113071"
"357","tt0113409","tt0080749","tt0114852","tt0075005"
"358","tt0109021","tt0100507","tt0075148","tt0095169"
"359","tt0109035","tt0119225","tt0118750","tt0385002"
"360","tt0106220","tt0101272","tt0119654","tt0120891"
"361","tt0106226","tt0097965","tt0071115","tt0217505"
"362","tt0109068","tt0117979","tt0097493","tt0490084"
"363","tt0109067","tt0116756","tt0104040","tt0112499"
"364","tt0106292","tt0099141","tt0094025","tt0102004"
"365","tt0109198","tt0105699","tt0094608","tt0097567"
"366","tt0109219","tt0100142","tt0120728","tt0112346"
"367","tt0106379","tt0085859","tt0093225","tt0082477"
"368","tt0106400","tt0110366","tt0115697","tt0105793"
"369","tt0109254","tt0080455","tt0104511","tt0118747"
"370","tt0109279","tt0057180","tt0097050","tt0112453"
"371","tt0109297","tt0116259","tt0085615","tt0157583"
"372","tt0109303","tt0107286","tt0116409","tt0164212"
"373","tt0109305","tt0118528","tt0113451","tt0067116"
"374","tt0109306","tt0087428","tt0053796","tt0083678"
"375","tt0106452","tt1707391","tt0112288","tt0114852"
"376","tt0106471","tt0409345","tt0113627","tt0111495"
"377","tt0106489","tt0343737","tt0113277","tt0112641"
"378","tt0109361","tt0258470","tt0409011","tt0113228"
"379","tt0106505","tt0328099","tt0421729","tt1464174"
"380","tt0106519","tt0086250","tt0097027","tt0094226"
"381","tt0109439","tt0866439","tt0093405","tt0101587"
"382","tt0109443","tt0102250","tt0120461","tt0107144"
"383","tt0106582","tt0099423","tt0149261","tt0091313"
"384","tt0106598","tt0100758","tt0097428","tt0117608"
"385","tt0109456","tt0114746","tt0102469","tt0096193"
"386","tt0109480","tt0089155","tt0097366","tt0111094"
"387","tt0109493","tt0367479","tt0113845","tt0110475"
"388","tt0106660","tt0103759","tt0116378","tt1707391"
"389","tt0106673","tt0110216","tt0119109","tt0465624"
"390","tt0106677","tt0120238","tt0460792","tt0112471"
"391","tt0106697","tt0113492","tt0119086","tt0113845"
"392","tt0109729","tt0060371","tt0067527","tt0308508"
"393","tt0106834","tt0401711","tt0114681","tt0102494"
"394","tt0106873","tt0120318","tt0083798","tt0090098"
"395","tt0106332","tt0162866","tt0116295","tt0332639"
"396","tt0109783","tt0095690","tt0107050","tt0251127"
"397","tt0106881","tt0090329","tt0091557","tt0097165"
"398","tt0106880","tt1333125","tt0114609","tt0109045"
"399","tt0111732","tt0111094","tt0117104","tt0124298"
"400","tt0106926","tt0097322","tt0111495","tt0106471"
"401","tt0111712","tt0113849","tt0090219","tt0118859"
"402","tt0106941","tt0449089","tt0112346","tt0113161"
"403","tt0106918","tt0073802","tt0156934","tt0120663"
"404","tt0106965","tt0113114","tt0119152","tt0114048"
"405","tt0109842","tt1656190","tt0117913","tt0120793"
"406","tt0106977","tt0406816","tt0098051","tt0115857"
"407","tt0107004","tt0114938","tt0116830","tt0134983"
"408","tt0109890","tt0093640","tt0105813","tt2402157"
"409","tt0109891","tt0095253","tt0327247","tt0113228"
"410","tt0109913","tt0126810","tt0114885","tt0113627"
"411","tt0107057","tt0120683","tt0100442","tt0292963"
"412","tt0107076","tt0115759","tt0119094","tt0097202"
"413","tt0107096","tt0113987","tt0101761","tt0096969"
"414","tt0107144","tt0102059","tt0120741","tt0080339"
"415","tt0113674","tt0109758","tt0087928","tt0099165"
"416","tt0112966","tt0111201","tt0114319","tt0112302"
"417","tt0107151","tt0120152","tt1654523","tt0119683"
"418","tt0110064","tt0099800","tt0102065","tt0162710"
"419","tt0110074","tt0093822","tt0118715","tt0190590"
"420","tt0110097","tt0119822","tt0092699","tt0371246"
"421","tt0110123","tt0119640","tt0120857","tt0104187"
"422","tt0107206","tt0114069","tt0082096","tt0118571"
"423","tt0107207","tt0097937","tt0118760","tt0765010"
"424","tt0110137","tt0114885","tt0113537","tt0115639"
"425","tt0108551","tt0149151","tt0116731","tt0109771"
"426","tt0107286","tt0109303","tt0116409","tt0164212"
"427","tt0107290","tt0119567","tt0407304","tt0212720"
"428","tt0107302","tt0244244","tt0187078","tt0365929"
"429","tt0110265","tt0116762","tt0292644","tt0485851"
"430","tt0107322","tt0307479","tt0892255","tt1598778"
"431","tt0107362","tt0112864","tt0099810","tt0091129"
"432","tt0107413","tt0119715","tt0102103","tt0099851"
"433","tt0110353","tt0231402","tt0114048","tt0117331"
"434","tt0107468","tt0094964","tt0091064","tt0278731"
"435","tt0107478","tt0110516","tt0117104","tt0100140"
"436","tt0107497","tt0120749","tt0098273","tt0249478"
"437","tt0107501","tt0112573","tt0335345","tt0472043"
"438","tt0107507","tt0070707","tt0075686","tt0073312"
"439","tt0107554","tt0112819","tt0120681","tt1037705"
"440","tt0116253","tt0120873","tt0253754","tt0110725"
"441","tt0074102","tt0085933","tt0113987","tt0114272"
"442","tt0111689","tt0114885","tt0113537","tt0115639"
"443","tt0107616","tt0105130","tt0113403","tt0109836"
"444","tt0107611","tt0113627","tt0099850","tt0109340"
"445","tt0107613","tt0116209","tt0087265","tt0099012"
"446","tt0107614","tt0120686","tt0182789","tt0113986"
"447","tt0107653","tt0118818","tt0151568","tt0100024"
"448","tt0110657","tt0112342","tt0096487","tt0087538"
"449","tt0110678","tt0190865","tt0294357","tt1226273"
"450","tt0110687","tt0093779","tt0825232","tt1839654"
"451","tt0107756","tt0120275","tt0206917","tt0381717"
"452","tt0107808","tt0112579","tt0118548","tt0139668"
"453","tt0107818","tt0102926","tt0120603","tt0081150"
"454","tt0107822","tt0144715","tt0117364","tt0099040"
"455","tt0107840","tt0113305","tt0120036","tt0255819"
"456","tt0107889","tt0097815","tt0116277","tt0116213"
"457","tt0111003","tt0114852","tt0106452","tt0119891"
"458","tt0110939","tt0253126","tt0070735","tt0106387"
"459","tt0110955","tt0123964","tt0115639","tt0221027"
"460","tt0107943","tt0104454","tt0117791","tt0086992"
"461","tt0110971","tt0117372","tt0200027","tt0094737"
"462","tt0107969","tt0315297","tt0113501","tt0096332"
"463","tt0111001","tt0101605","tt0084503","tt0099291"
"464","tt0107978","tt0093560","tt0120207","tt0100502"
"465","tt0107977","tt0112896","tt0094012","tt0072431"
"466","tt0107983","tt0099951","tt0102288","tt0114558"
"467","tt0105275","tt0119488","tt0381849","tt0765429"
"468","tt0108000","tt0120402","tt0114885","tt0113627"
"469","tt0108002","tt0091217","tt0113851","tt0082158"
"470","tt0108026","tt0084783","tt0091860","tt0114681"
"471","tt0105032","tt0114702","tt0108328","tt0084589"
"472","tt0108052","tt0118607","tt0408306","tt0443272"
"473","tt0111094","tt0109480","tt0068334","tt0091129"
"474","tt0108065","tt0083987","tt0120633","tt0096316"
"475","tt0108071","tt0120481","tt0114702","tt0113670"
"476","tt0111127","tt0173716","tt0075936","tt0126604"
"477","tt0111143","tt0091203","tt0102034","tt0107927"
"478","tt0108101","tt0083987","tt0116621","tt0092804"
"479","tt0108122","tt0110907","tt0105151","tt0073440"
"480","tt0111194","tt0105150","tt0110538","tt0114474"
"481","tt0111201","tt0101898","tt0338097","tt0109831"
"482","tt0108149","tt0089816","tt0100530","tt0253200"
"483","tt0108160","tt0128853","tt0117038","tt0110538"
"484","tt0108162","tt0145681","tt0097162","tt0105112"
"485","tt0083658","tt0078748","tt0212985","tt0096933"
"486","tt0108186","tt0092718","tt0116168","tt0243931"
"487","tt0108174","tt0097892","tt0102011","tt0811138"
"488","tt0108238","tt0133985","tt0098206","tt0104346"
"489","tt0089256","tt0110299","tt0106473","tt0113952"
"490","tt0108255","tt0094933","tt0102057","tt0116151"
"491","tt0111323","tt0115783","tt0114608","tt0166110"
"492","tt0111400","tt0099385","tt0107144","tt0100135"
"493","tt0108328","tt0120802","tt0103110","tt0494834"
"494","tt0111418","tt0115963","tt0118566","tt0143261"
"495","tt0107688","tt0116683","tt0327597","tt0166276"
"496","tt0108333","tt0096928","tt0115433","tt0104868"
"497","tt0108358","tt0089880","tt0090859","tt0113277"
"498","tt0111488","tt0100150","tt0082089","tt0100442"
