"id","imdbID","Title","Year","imdbRating","imdbVotes","Rated","Runtime","genres","r1","r2","r3"
"77","tt0114039","Once Upon a Time... When We Were Colored","1995",7.3,"411","PG","115 min","Drama|Romance","tt0114388","tt0114117","tt0115644"
"78","tt0113612","Last Summer in the Hamptons","1995",6.1,"301","R","108 min","Comedy|Drama","tt0114885","tt0114681","tt0113118"
"79","tt0112365","Angels and Insects","1995",7,"3939","R","116 min","Drama|Romance","tt0153464","tt0104779","tt0116209"
"80","tt0118158","White Squall","1996",6.6,"17582","PG-13","129 min","Action|Adventure|Drama","tt0103594","tt0955308","tt1528100"
"81","tt0116151","Dunston Checks In","1996",5.2,"9635","PG","88 min","Children|Comedy","tt0096378","tt0089994","tt0118691"
"82","tt0115697","Black Sheep","1996",6.2,"28959","PG-13","87 min","Comedy","tt0105793","tt0114694","tt0106400"
"83","tt0113972","Nick of Time","1995",6.3,"31881","R","90 min","Action|Thriller","tt0107843","tt0085255","tt0102004"
"84","tt0113490","The Journey of August King","1995",6.6,"750","PG-13","91 min","Drama","tt0094347","tt0098219","tt0101898"
"85","tt0117002","Mary Reilly","1996",5.8,"11694","R","108 min","Drama|Horror|Thriller","tt0094947","tt0120699","tt0091578"
"86","tt0114825","Vampire in Brooklyn","1995",4.5,"16856","R","100 min","Comedy|Horror|Romance","tt0111686","tt0096071","tt0098320"
"87","tt0115639","Beautiful Girls","1996",7.2,"26154","R","112 min","Comedy|Drama|Romance","tt0110955","tt0123964","tt0108560"
"88","tt0115759","Broken Arrow","1996",6,"75836","R","108 min","Action|Adventure|Thriller","tt0119094","tt0107076","tt0097202"
"89","tt0113403","A Midwinter's Tale","1995",7.3,"1975","R","99 min","Comedy|Drama","tt0107616","tt0105130","tt0109836"
"90","tt0113247","La Haine","1995",8.1,"100288","NOT RATED","98 min","Crime|Drama","tt0228786","tt0290673","tt0082206"
"91","tt0115907","City Hall","1996",6.2,"16523","R","111 min","Drama|Thriller","tt0098273","tt0107497","tt0120749"
"92","tt0115734","Bottle Rocket","1996",7.1,"53234","R","91 min","Adventure|Comedy|Crime|Romance","tt0362270","tt0838221","tt0128445"
"93","tt0117102","Mr. Wrong","1996",3.7,"4253","PG-13","96 min","Comedy","tt0110443","tt0098442","tt0106701"
"94","tt0118040","Unforgettable","1996",6,"3864","R","117 min","Mystery|Sci-Fi|Thriller","tt0110308","tt0105226","tt0128442"
"95","tt0116483","Happy Gilmore","1996",7,"151975","PG-13","92 min","Comedy","tt0142342","tt0437863","tt0762107"
"96","tt0112579","The Bridges of Madison County","1995",7.5,"53591","PG-13","135 min","Drama|Romance","tt0107808","tt0405159","tt0118548"
"97","tt0117110","Muppet Treasure Island","1996",6.9,"15483","G","99 min","Adventure|Children|Comedy|Musical","tt0104940","tt0076137","tt0361089"
"98","tt0112646","Catwalk","1995",6.4,"166","N/A","95 min","Documentary","tt0107472","tt0109339","tt0109934"
"99","tt0112573","Braveheart","1995",8.4,"718020","R","178 min","Action|Drama|War","tt0335345","tt0472043","tt0113987"
"100","tt0075314","Taxi Driver","1976",8.3,"489915","R","113 min","Crime|Drama|Thriller","tt0112641","tt0099685","tt0217505"
"101","tt0113326","Rumble in the Bronx","1995",6.7,"28944","R","87 min","Action|Adventure|Comedy|Crime","tt0104558","tt0116704","tt0106544"
"102","tt0115645","Before and After","1996",6.1,"6533","PG-13","108 min","Drama|Mystery","tt0118966","tt0100486","tt0250809"
"103","tt0113774","Margaret's Museum","1995",7.3,"1190","R","114 min","Drama","tt0109836","tt0111742","tt0120520"
"104","tt0112556","Happiness Is in the Field","1995",7,"2110","N/A","106 min","Comedy","tt0240149","tt1805297","tt0113756"
"105","tt0112373","Anne Frank Remembered","1995",8.2,"783","PG","122 min","Documentary","tt0208261","tt0108323","tt0092593"
"106","tt0115033","The Young Poisoner's Handbook","1995",7.1,"2982","R","99 min","Crime|Drama","tt0120801","tt0113277","tt0112641"
"107","tt0116606","If Lucy Fell","1996",4.9,"3332","R","92 min","Comedy|Romance","tt0111201","tt0129387","tt0408839"
"108","tt0106473","The Boys of St. Vincent","1992",7.8,"1166","N/A","93 min","Drama","tt0112792","tt0114916","tt0110299"
"109","tt0103859","Boomerang","1992",5.4,"19684","R","117 min","Comedy|Romance","tt0099800","tt0116448","tt0213790"
"110","tt0109424","Chungking Express","1994",8.1,"38919","PG-13","102 min","Drama|Mystery|Romance","tt0212712","tt0109688","tt0112913"
"111","tt0114808","The Star Maker","1995",7.3,"3624","R","113 min","Drama","tt0120731","tt0213847","tt0095765"
"112","tt0116324","Flirting with Disaster","1996",6.8,"14863","R","92 min","Comedy","tt0120188","tt0356721","tt1045658"
"113","tt0110647","The Neverending Story III","1994",3.1,"8087","G","95 min","Adventure|Children|Fantasy","tt0116552","tt0048960","tt0066817"
"114","tt0114131","Pie in the Sky","1996",5.9,"720","R","95 min","Comedy|Romance","tt0111418","tt0118113","tt0095927"
"115","tt0113107","Frankie Starlight","1995",6.7,"739","R","101 min","Drama|Romance","tt0102573","tt0110322","tt0117093"
"116","tt0113451","Jade","1995",5.1,"9022","R","95 min","Thriller","tt0067116","tt0160797","tt0080569"
"117","tt0116130","Down Periscope","1996",6,"16562","PG-13","92 min","Comedy","tt0097815","tt0102216","tt0110442"
"118","tt0113756","Man of the Year","1995",6.1,"297","N/A","86 min","Documentary","tt0112556","tt0105652","tt0070506"
"119","tt0113952","The Neon Bible","1995",6.1,"601","N/A","91 min","Drama","tt0200720","tt0095037","tt1232790"
"120","tt0118055","Up Close & Personal","1996",6.1,"11183","PG-13","124 min","Drama|Romance","tt0111667","tt0101921","tt0117071"
"121","tt0115685","The Birdcage","1996",7,"60946","R","117 min","Comedy","tt0100395","tt0119942","tt0096463"
"122","tt0112585","The Brothers McMullen","1995",6.6,"6289","R","98 min","Comedy","tt0117628","tt0280438","tt0114885"
"123","tt0112442","Bad Boys","1995",6.8,"167566","R","119 min","Action|Comedy|Crime|Drama|Thriller","tt0172156","tt1980209","tt0117500"
"124","tt0112342","The Amazing Panda Adventure","1995",5.8,"3029","PG","84 min","Adventure|Children","tt0110657","tt0113114","tt0106965"
"125","tt0112461","The Basketball Diaries","1995",7.3,"78055","R","102 min","Drama","tt0231448","tt0099685","tt1616195"
"126","tt0109093","Amateur","1994",7,"4445","R","105 min","Crime|Drama|Thriller","tt0103130","tt0105411","tt0113080"
"127","tt0112384","Apollo 13","1995",7.6,"204515","PG","140 min","Adventure|Drama|IMAX","tt0096446","tt0870111","tt0088161"
"128","tt0114287","Rob Roy","1995",6.9,"33879","R","139 min","Action|Drama|Romance|War","tt0119395","tt0098260","tt0108330"
"129","tt0112288","The Addiction","1995",6.4,"6464","UNRATED","82 min","Drama|Horror","tt0116378","tt0106452","tt0106660"
"130","tt0112462","Batman Forever","1995",5.4,"186710","PG-13","121 min","Action|Adventure|Comedy|Crime","tt0118688","tt0280486","tt0109446"
"131","tt0061395","Belle de Jour","1967",7.8,"28382","APPROVED","101 min","Drama","tt0058249","tt0066491","tt0075824"
"132","tt0112495","Beyond Rangoon","1995",6.6,"4089","R","100 min","Adventure|Drama|War","tt0089087","tt0076009","tt0120706"
"133","tt0112541","Blue in the Face","1995",6.7,"7490","R","83 min","Comedy|Drama","tt0114478","tt0107282","tt0118851"
"134","tt0109370","Canadian Bacon","1995",5.9,"13453","PG","91 min","Comedy|War","tt0124295","tt0361596","tt0117008"
"135","tt0112642","Casper","1995",6,"83261","PG","100 min","Adventure|Children","tt0339291","tt0109813","tt0116756"
"136","tt0112688","Clockers","1995",6.9,"16356","R","128 min","Crime|Drama|Mystery","tt0454848","tt0162677","tt1321511"
"137","tt0112715","Congo","1995",5,"33723","PG-13","109 min","Action|Adventure|Mystery|Sci-Fi","tt0099052","tt0106246","tt0397313"
"138","tt0112740","Crimson Tide","1995",7.3,"79188","R","116 min","Drama|Thriller|War","tt0120660","tt0328107","tt1111422"
"139","tt0109508","Crumb","1994",8,"13766","R","119 min","Documentary","tt0162346","tt0307987","tt0364955"
"140","tt0112851","Desperado","1995",7.2,"135409","R","104 min","Action|Romance|Western","tt0285823","tt0104815","tt0985694"
"141","tt0112857","Devil in a Blue Dress","1995",6.7,"12879","R","102 min","Crime|Film-Noir|Mystery|Thriller","tt0313443","tt0102592","tt0257756"
"142","tt0112864","Die Hard: With a Vengeance","1995",7.6,"293233","R","128 min","Action|Crime|Thriller","tt0095016","tt0099810","tt0120657"
"143","tt0112887","The Doom Generation","1995",5.9,"11173","R","83 min","Comedy|Crime|Drama","tt0119809","tt0127296","tt0113845"
"144","tt0113071","First Knight","1995",5.9,"54143","PG-13","134 min","Action|Drama|Romance","tt0099653","tt0250687","tt0097576"
"145","tt0113114","Free Willy 2: The Adventure Home","1995",4.9,"12335","PG","95 min","Adventure|Children|Drama","tt0106965","tt0119152","tt0112342"
"146","tt0113243","Hackers","1995",6.2,"53647","PG-13","107 min","Action|Adventure|Crime|Thriller","tt0272152","tt0106339","tt0111709"
"147","tt0113464","Jeffrey","1995",6.7,"4856","R","92 min","Comedy|Drama","tt0114885","tt0114681","tt0113118"
"148","tt0113481","Johnny Mnemonic","1995",5.6,"55329","R","96 min","Action|Sci-Fi|Thriller","tt0113492","tt0114614","tt0114857"
"149","tt0113492","Judge Dredd","1995",5.4,"85874","R","96 min","Action|Crime|Sci-Fi","tt0106697","tt0112401","tt0113481"
"150","tt0113500","Jury Duty","1995",4,"6136","PG-13","88 min","Comedy","tt0120770","tt0109361","tt0108186"
"151","tt0113540","Kids","1995",7,"57515","N/A","91 min","Drama","tt0127722","tt0242193","tt0209077"
"152","tt0113677","Living in Oblivion","1995",7.6,"12475","R","90 min","Comedy","tt0119987","tt0412637","tt0118113"
"153","tt0113690","Lord of Illusions","1995",6,"10907","R","109 min","Horror","tt0093177","tt0054215","tt0082418"
"154","tt0107447","Love & Human Remains","1993",6.8,"2167","R","100 min","Comedy|Drama","tt0338135","tt0090985","tt0097635"
"155","tt0113729","Mad Love","1995",5.2,"5217","PG-13","93 min","Drama|Romance","tt0110889","tt0112679","tt0116621"
"156","tt0113749","Mallrats","1995",7.2,"97196","R","94 min","Comedy|Romance","tt0118842","tt1007028","tt0109445"
"157","tt0113820","Mighty Morphin Power Rangers: The Movie","1995",5,"18597","PG","95 min","Action|Children","tt0119640","tt0120389","tt0120856"
"158","tt0113851","Moonlight and Valentino","1995",5.8,"2933","R","105 min","Drama|Romance","tt0120703","tt0090583","tt0114885"
"159","tt0110604","Mute Witness","1995",6.8,"4254","R","95 min","Comedy|Horror|Thriller","tt0118604","tt0113690","tt0113303"
"160","tt0110620","Nadja","1994",6,"2419","R","93 min","Drama","tt0171359","tt0096321","tt0117002"
"161","tt0113957","The Net","1995",5.8,"47823","PG-13","114 min","Action|Crime|Thriller","tt0132512","tt0352277","tt0101984"
"162","tt0113986","Nine Months","1995",5.4,"29330","PG-13","103 min","Comedy|Romance","tt0095288","tt0102598","tt1032815"
"163","tt0114095","Party Girl","1995",6.6,"3551","R","94 min","Comedy","tt0120531","tt0280720","tt0114550"
"164","tt0114194","The Prophecy","1995",6.6,"23995","R","98 min","Fantasy|Horror|Mystery","tt0114608","tt0103919","tt0118643"
"165","tt0114323","Safe","1995",7.1,"8147","R","119 min","Thriller","tt0120879","tt0297884","tt0368794"
"166","tt0114345","The Scarlet Letter","1995",5.1,"11832","R","135 min","Drama|Romance","tt0087553","tt0190861","tt0114496"
"167","tt0114436","Showgirls","1995",4.6,"48947","NC-17","128 min","Drama","tt0103772","tt0073233","tt0081547"
"168","tt0114478","Smoke","1995",7.4,"27374","R","112 min","Comedy|Drama","tt0112541","tt0408985","tt0107282"
"169","tt0114496","Something to Talk About","1995",5.7,"10244","R","106 min","Comedy|Drama|Romance","tt0102590","tt0402894","tt0462338"
"170","tt0114508","Species","1995",5.8,"59541","R","108 min","Horror|Sci-Fi","tt0109890","tt0120841","tt0093640"
"171","tt0114558","Strange Days","1995",7.2,"53059","R","145 min","Action|Crime|Drama|Mystery|Sci-Fi|Thriller","tt0093605","tt0099160","tt0102685"
"172","tt0058450","The Umbrellas of Cherbourg","1964",7.8,"14554","UNRATED","91 min","Drama|Musical|Romance","tt0055093","tt0028216","tt0111797"
"173","tt0114666","The Tie That Binds","1995",5,"914","R","99 min","Thriller","tt0116260","tt0113451","tt0110365"
"174","tt0114663","Three Wishes","1995",6.1,"2120","PG","115 min","Drama|Fantasy","tt0107443","tt0089886","tt0102753"
"175","tt0114702","Total Eclipse","1995",6.5,"10199","R","111 min","Drama|Romance","tt0120481","tt0174268","tt0096280"
"176","tt0114682","To Wong Foo Thanks for Everything, Julie Newmar","1995",6.3,"20592","PG-13","109 min","Comedy","tt0120257","tt0317198","tt0120791"
"177","tt0114781","Under Siege 2: Dark Territory","1995",5.4,"35069","R","100 min","Action","tt0104299","tt0116253","tt0105690"
"178","tt0114798","Unstrung Heroes","1995",6.8,"2682","PG","93 min","Comedy|Drama","tt0117038","tt0114319","tt0112302"
"179","tt0114805","Unzipped","1995",6.4,"894","R","73 min","Documentary","tt0112541","tt0109508","tt0112651"
"180","tt0114887","A Walk in the Clouds","1995",6.6,"24163","PG-13","102 min","Drama|Romance","tt0103994","tt0230838","tt0337741"
"181","tt0114898","Waterworld","1995",6.1,"141281","PG-13","135 min","Action|Adventure|Sci-Fi","tt0102798","tt0245844","tt0110944"
"182","tt0114928","White Man's Burden","1995",5.2,"3928","R","89 min","Drama","tt0116508","tt0144214","tt1480295"
"183","tt0114938","Wild Bill","1995",5.9,"4668","R","98 min","Western","tt0088194","tt0116830","tt0092997"
"184","tt0109340","The Browning Version","1994",7.3,"2437","R","97 min","Drama","tt0113627","tt0126859","tt0107611"
"185","tt0112602","Bushwhacked","1995",5.4,"4424","PG-13","90 min","Adventure|Comedy|Crime|Mystery","tt0095519","tt0104905","tt0098627"
"186","tt0111579","Burnt by the Sun","1994",8,"10943","R","135 min","Drama","tt0488478","tt0097441","tt0087553"
"187","tt0110882","Before the Rain","1994",8.1,"10979","NOT RATED","113 min","Drama|War","tt0110081","tt0114671","tt0114787"
"188","tt0112471","Before Sunrise","1995",8.1,"177057","R","105 min","Drama|Romance","tt0381681","tt2209418","tt0275719"
"189","tt0112508","Billy Madison","1995",6.4,"102246","PG-13","89 min","Comedy","tt0275022","tt0118702","tt0120693"
"190","tt0112438","The Babysitter","1995",4.2,"3309","R","90 min","Drama|Thriller","tt0288439","tt0105226","tt0120303"
"191","tt0112571","Boys on the Side","1995",6.4,"9447","R","115 min","Comedy|Drama","tt0076095","tt0085919","tt0098384"
"192","tt0112757","The Cure","1995",7.7,"7322","PG-13","97 min","Drama","tt0120303","tt0092546","tt0112302"
"193","tt0112643","Castle Freak","1995",5.9,"4140","R","90 min","Horror","tt0089885","tt0264508","tt0328031"
"194","tt0112679","Circle of Friends","1995",6.6,"6983","PG-13","103 min","Drama|Romance","tt0230838","tt0119381","tt0113729"
"195","tt0109445","Clerks","1994",7.8,"178801","R","92 min","Comedy","tt0424345","tt0261392","tt0113749"
"196","tt0112883","Don Juan DeMarco","1994",6.8,"40722","PG-13","97 min","Comedy|Drama|Romance","tt0112346","tt0113347","tt0113321"
"197","tt0109635","Disclosure","1994",6,"35808","R","128 min","Drama|Thriller","tt0117665","tt0094155","tt0120885"
"198","tt0112899","Dream Man","1995",4.6,"208","R","94 min","Thriller","tt0276816","tt0103303","tt0114576"
"199","tt0109676","Drop Zone","1994",5.6,"15425","R","101 min","Action|Thriller","tt0113972","tt0119365","tt0094025"
"200","tt0112854","Destiny Turns on the Radio","1995",4.4,"1867","R","102 min","Comedy","tt0116367","tt0119535","tt0265713"
"201","tt0109579","Death and the Maiden","1994",7.3,"16985","R","103 min","Drama|Thriller","tt0071315","tt0104779","tt0142688"
"202","tt0109642","Dolores Claiborne","1995",7.4,"27698","R","132 min","Drama|Thriller","tt0118971","tt0106469","tt0086859"
"203","tt0109686","Dumb & Dumber","1994",7.3,"281730","PG-13","107 min","Adventure|Comedy","tt2096672","tt0116778","tt0183505"
"204","tt0111797","Eat Drink Man Woman","1994",7.8,"13592","UNRATED","124 min","Comedy|Drama|Romance","tt0107156","tt0105652","tt0114388"
"205","tt0109759","Exotica","1994",7.2,"13886","R","103 min","Drama","tt0120255","tt0273435","tt0373450"
"206","tt0109758","Exit to Eden","1994",4.1,"5490","R","113 min","Comedy","tt0100405","tt0101912","tt0119229"
"207","tt0109707","Ed Wood","1994",7.9,"140594","R","127 min","Comedy|Drama","tt0162661","tt0408236","tt0099487"
"208","tt0113117","French Kiss","1995",6.5,"38083","PG-13","111 min","Action|Comedy|Romance","tt0090022","tt0101969","tt0085244"
"209","tt0113097","Forget Paris","1995",6.4,"9267","PG-13","101 min","Comedy|Romance","tt0104928","tt0119109","tt0099012"
"210","tt0113028","Far from Home: The Adventures of Yellow Dog","1995",6.4,"1960","PG","81 min","Adventure|Children","tt0089731","tt0110557","tt0085622"
"211","tt0113198","A Goofy Movie","1995",6.8,"33274","G","78 min","Animation|Children|Comedy|Romance","tt0120855","tt0211181","tt0461770"
"212","tt0113303","Hideaway","1995",5.3,"5014","R","106 min","Thriller","tt0104692","tt0445965","tt0114857"
"213","tt0113089","Fluke","1995",6.7,"5037","PG","96 min","Children|Drama","tt0113419","tt0111112","tt0038650"
"214","tt0109771","Farinelli","1994",6.9,"5006","R","111 min","Drama|Musical","tt0110116","tt0106339","tt0108551"
"215","tt0113199","Gordy","1995",3.9,"1561","G","90 min","Children|Comedy|Fantasy","tt0112431","tt0104940","tt0087755"
"216","tt0109906","The Glass Shield","1994",6.6,"2753","PG-13","109 min","Crime|Drama","tt0115645","tt0113243","tt0113957"
"217","tt0110057","Hoop Dreams","1994",8.3,"18233","PG-13","170 min","Documentary","tt0119937","tt0334416","tt2382298"
"218","tt0110005","Heavenly Creatures","1994",7.4,"49188","R","99 min","Crime|Drama","tt0112641","tt0112461","tt0116365"
"219","tt0110066","Houseguest","1995",5.9,"4400","PG","113 min","Comedy","tt0116705","tt0120142","tt0914797"
