"","id","imdbID","Title","Year","imdbRating","imdbVotes","Rated","Runtime","genres","r1","r2","r3","Plot"
"22",22,"tt0112722","Copycat","1995",6.6,"41514","R","123 min","Crime|Drama|Horror|Mystery|Thriller","tt0108185","tt0114369","tt0114814","An agoraphobic psychologist and a female detective must work together to take down a serial killer who copies serial killers from the past."
"23",23,"tt0112401","Assassins","1995",6.3,"61466","R","132 min","Action|Crime|Thriller","tt0122151","tt0093409","tt0097733","Professional hit-man Robert Rath wants to fulfill a few more contracts before retiring but unscrupulous ambitious newcomer hit-man Miguel Bain keeps killing Rath's targets."
"24",24,"tt0114168","Powder","1995",6.5,"23830","PG-13","111 min","Drama|Sci-Fi","tt0145893","tt0259288","tt0452637","A young bald albino boy with unique powers shakes up the rural community he lives in."
"25",25,"tt0113627","Leaving Las Vegas","1995",7.6,"91469","R","111 min","Drama|Romance","tt0109340","tt0107611","tt0126859","Ben Sanderson, an alcoholic Hollywood screenwriter who lost everything because of his drinking, arrives in Las Vegas to drink himself to death. There, he meets and forms an uneasy friendship and non-interference pact with prostitute Sera."
"26",26,"tt0114057","Othello","1995",7,"7299","R","123 min","Drama","tt0278500","tt1235124","tt0109836","The evil Iago pretends to be friend of Othello in order to manipulate him to serve his own end in the film version of this Shakespeare classic."
"27",27,"tt0114011","Now and Then","1995",6.7,"21107","PG-13","100 min","Children|Drama","tt0142201","tt0112346","tt0113347","Four 12-year-old girls grow up together during an eventful small-town summer in 1970."
"28",28,"tt0114117","Persuasion","1995",7.7,"8758","PG","107 min","Drama|Romance","tt0125439","tt0375735","tt0489327","Eight years earlier, Anne Elliot, the daughter of a financially troubled aristocratic family, was persuaded to break off her engagement to Frederick Wentworth, a young seaman, who, though ..."
"29",29,"tt0112682","The City of Lost Children","1995",7.7,"54753","R","112 min","Adventure|Drama|Fantasy|Mystery|Sci-Fi","tt0101700","tt0118583","tt0487928","A scientist in a surrealist society kidnaps children to steal their dreams, hoping that they slow his aging process."
"30",30,"tt0115012","Shanghai Triad","1995",7.2,"4122","R","108 min","Crime|Drama","tt0473444","tt0110081","tt0101640","A provincial boy related to a Shanghai crime family is recruited by his uncle into cosmopolitan Shanghai in the 1930s to be a servant to a ganglord's mistress."
"31",31,"tt0112792","Dangerous Minds","1995",6.4,"37312","R","99 min","Drama","tt0106473","tt0113987","tt0112641","An ex-Marine turned teacher struggles to connect with her students in an inner city school."
"32",32,"tt0114746","Twelve Monkeys","1995",8.1,"450483","R","129 min","Mystery|Sci-Fi|Thriller","tt0088846","tt0109456","tt0120669","In a future world devastated by disease, a convict is sent back in time to gather information about the man-made virus that wiped out most of the human population on the planet."
"33",33,"tt0114952","Wings of Courage","1995",6.6,"471","G","40 min","Adventure|Romance|IMAX","tt0120102","tt0082484","tt0095800","While flying mail across the Andean mountains, Henri Guillaumet's plane has to crash-land, he must trek back to civilizatin on foot."
"34",34,"tt0112431","Babe","1995",6.8,"92540","G","91 min","Children|Drama","tt0113199","tt0104940","tt0087755","Babe, a pig raised by sheepdogs, learns to herd sheep with a little help from Farmer Hoggett."
"35",35,"tt0112637","Carrington","1995",6.9,"4351","R","121 min","Drama|Romance","tt0117582","tt0107207","tt0212827","The platonic relationship between artist Dora Carrington and writer Lytton Strachey in the early 20th century."
"36",36,"tt0112818","Dead Man Walking","1995",7.6,"71744","R","122 min","Crime|Drama","tt0150216","tt0106519","tt0103850","A nun, while comforting a convicted killer on death row, empathizes with both the killer and his victim's families."
"37",37,"tt0112697","Clueless","1995",6.8,"117619","PG-13","97 min","Comedy|Romance","tt0466839","tt0120770","tt0217630","A rich high school student tries to boost a new pupil's popularity, but reckons without affairs of the heart getting in the way."
"38",38,"tt0112749","Cry, the Beloved Country","1995",6.9,"1404","PG-13","106 min","Drama","tt0118927","tt0099566","tt0107808","A South-African preacher goes to search for his wayward son who has committed a crime in the big city."
"39",39,"tt0114279","Richard III","1995",7.5,"11351","R","104 min","Drama|War","tt0111709","tt0083693","tt0120710","The classic Shakespearean play about a murderously scheming king staged in an alternative fascist England setting."
"40",40,"tt0112819","Dead Presidents","1995",6.8,"14841","R","119 min","Action|Crime|Drama","tt0107554","tt1037705","tt0179074","A Vietnam vet adjusts to life after the war while trying to support his family, but the chance of a better life may involve crime and bloodshed."
"41",41,"tt0114272","Restoration","1995",6.7,"7423","R","117 min","Drama","tt0425055","tt0824758","tt0098356","The exiled royal physician to King Charles II devotes himself to helping Londoners suffering from the plague, and in the process falls in love with an equally poor woman."
"42",42,"tt0113855","Mortal Kombat","1995",5.8,"79687","PG-13","101 min","Action|Adventure|Fantasy","tt0370263","tt1509767","tt0119707","Three unknowing martial artists are summoned to a mysterious island to compete in a tournament whose outcome will decide the fate of the world."
"43",43,"tt0114681","To Die For","1995",6.8,"34139","R","106 min","Comedy|Drama|Thriller","tt0097240","tt0106834","tt0363589","Suzanne Stone is an aspiring TV personality who will do anything to be in the spotlight, including enlisting three teenagers to kill her husband."
"44",44,"tt0113347","How to Make an American Quilt","1995",6.2,"8258","PG-13","109 min","Drama|Romance","tt0166252","tt0112346","tt0113321","Bride-to-be Finn Dodd hears tales of romance and sorrow from her elders as they construct a quilt."
"45",45,"tt0114369","Se7en","1995",8.6,"991909","R","127 min","Mystery|Thriller","tt1568346","tt2267998","tt0119174","Two detectives, a rookie and a veteran, hunt a serial killer who uses the seven deadly sins as his modus operandi."
"46",46,"tt0114148","Pocahontas","1995",6.6,"115333","G","81 min","Animation|Children|Drama|Musical|Romance","tt0100477","tt0120910","tt0112453","An English soldier and the daughter of an Algonquin chief share a romance when English colonists invade seventeenth-century Virginia."
"47",47,"tt0114916","When Night Is Falling","1995",6.8,"5214","R","94 min","Drama|Romance","tt0178737","tt0114885","tt0113627","An uptight and conservative woman, working on tenure as a literacy professor at a large urban university, finds herself strangely attracted to a free-spirited, liberal woman who works at a local carnival that comes to town."
"48",48,"tt0114814","The Usual Suspects","1995",8.6,"718172","R","106 min","Crime|Mystery|Thriller","tt0118636","tt0237572","tt0112722","A sole survivor tells of the twisty events leading up to a horrific gun battle on a boat, which begin when five criminals meet at a seemingly random police lineup."
"49",49,"tt0113819","Mighty Aphrodite","1995",7.1,"31011","R","95 min","Comedy|Drama|Romance","tt0116242","tt0079522","tt0089853","When he discovers his adopted son is a genius, a New York sportswriter seeks out the boy's birth mother: a prostitute."
"50",50,"tt0110299","Lamerica","1994",7.7,"1693","N/A","116 min","Adventure|Drama","tt0106473","tt0113952","tt0113540","Two Italian racketeers come to Albania just after the fall of the communists to set up a fictive firm and pocket the grants. They need a stooge. They choose an old one in a jail : Spiro. ..."
"51",51,"tt0112499","The Big Green","1995",5.4,"6710","PG","100 min","Children|Comedy","tt0109067","tt0110363","tt0116165","Another Disney underdog sports team of misfit kids (soccer this time) learns to play a new sport and become champions, while building self-esteem, making friends and solving a variety of ..."
"52",52,"tt0113158","Georgia","1995",6.4,"2305","R","115 min","Drama","tt0083232","tt0078326","tt0116745","Sadie is desperately looking up to her older sister Georgia who is a famous C&W artist. Sadie wants to be a famous artist like her sister, but is always doing everything wrong. Her ..."
"53",53,"tt0113321","Home for the Holidays","1995",6.6,"8981","PG-13","103 min","Drama","tt0171433","tt0361841","tt1321860","After losing her job, making out with her soon-to-be former boss and finding out that her daughter plans to spend Thanksgiving with her boyfriend, Claudia Larson faces spending the holiday with her family."
"54",54,"tt0110877","Il Postino: The Postman","1994",7.8,"25577","PG","108 min","Comedy|Drama|Romance","tt0099334","tt0120594","tt0087803","Simple Italian postman learns to love poetry while delivering mail to a famous poet; he uses this to woo local beauty Beatrice."
"55",55,"tt0112714","The Confessional","1995",7.6,"1352","NOT RATED","100 min","Drama|Mystery","tt0060176","tt0415932","tt1459012","The year is 1952, in Quebec City. Rachel, 16, unmarried, and pregnant, works in the church. Filled with shame, she unburdens her guilt to a young priest, under the confidentiality of the ..."
"56",56,"tt0113419","The Indian in the Cupboard","1995",5.9,"20328","PG","96 min","Adventure|Children|Fantasy","tt0083791","tt0087755","tt0113089","On his ninth birthday a boy receives many presents. Two of them first seem to be less important: an old cupboard from his brother and a little Indian figure made of plastic from his best ..."
"57",57,"tt0116260","Eye for an Eye","1996",6.1,"9525","R","101 min","Drama|Thriller","tt0092632","tt0087231","tt0074860","When the courts fail to keep behind bars the man who raped and murdered her daughter, a woman seeks her own form of justice."
"58",58,"tt0113862","Mr. Holland's Opus","1995",7.3,"29795","PG","143 min","Drama","tt0104868","tt0120701","tt0096928","A frustrated composer finds fulfillment as a high school music teacher."
"59",59,"tt0116126","Don't Be a Menace to South Central While Drinking Your Juice in the Hood","1996",6.6,"37036","R","89 min","Comedy|Crime","tt0335245","tt0381707","tt2404463","""Don't Be a Menace to South Central While Drinking your Juice in the Hood"" is a parody of several U.S. films about being in the 'Hood', for instance ""Boyz n the Hood"", ""South Central"", ""..."
"60",60,"tt0118002","Two If by Sea","1996",5.2,"4465","R","96 min","Comedy|Romance","tt0109758","tt0110955","tt0119229","Frank O'Brien, a petty thief, and his 7-year-long girlfriend Roz want to put an end to their unsteady lifestyle and just do that _last_ job, which involves stealing a valuable painting. ..."
"61",61,"tt0115683","Bio-Dome","1996",4.4,"21170","PG-13","88 min","Comedy","tt0113228","tt0112346","tt0112896","Moronic best friends get themselves locked inside the Bio-Dome, a science experiment, along with a group of environmental scientists for one year."
"62",62,"tt0116839","Lawnmower Man 2: Beyond Cyberspace","1996",2.4,"7798","PG-13","93 min","Action|Sci-Fi|Thriller","tt0117688","tt0120685","tt0199753","Jobe is resuscitated by Jonathan Walker. He wants Jobe to create a special computer chip that would connect all the computers in the world into one network, which Walker would control and ..."
"63",63,"tt0113149","French Twist","1995",6.4,"3674","R","104 min","Comedy|Romance","tt0216787","tt0098520","tt0103030","After learning of her husband's infidelities, a housewife invites an itinerant lesbian to move in with them. None of their lives will ever be the same again."
"64",64,"tt0113118","Friday","1995",7.3,"72381","R","91 min","Comedy","tt0117603","tt0120768","tt0266465","Two homies, Smokey and Craig, smoke a dope dealer's weed and try to figure a way to get the $200 they owe to the dealer by ten p.m. that same night. In that time, they smoke more weed, get jacked, and they get shot at in a drive-by."
"65",65,"tt0116367","From Dusk Till Dawn","1996",7.3,"213945","R","108 min","Action|Comedy|Horror|Thriller","tt0113101","tt0112851","tt0133751","Two criminals and their hostages unknowingly seek temporary refuge in an establishment populated by vampires, with chaotic results."
"66",66,"tt0113010","Fair Game","1995",4.1,"9973","R","91 min","Action","tt0114576","tt0112401","tt0112851","Max Kirkpatrick is a cop who protects Kate McQuean, a civil law attorney, from a renegade KGB team out to terminate her."
"67",67,"tt0113537","Kicking and Screaming","1995",7.1,"6916","R","96 min","Comedy|Drama","tt1234654","tt2347569","tt0119717","Following graduation, a handful of college students do nothing and talk about it wittily."
"68",68,"tt0113828","Les Misérables","1995",7.5,"3151","R","175 min","Drama|War","tt0283883","tt0889652","tt0061138","Henri Fortin is poor and iliterate former boxer. Ziman is rich Jewish lawyer from Paris. During WWII they meet when Fortin agrees to drive Ziman's family to Switzerland. Intrigued by Victor..."
"69",69,"tt0115644","Bed of Roses","1996",6,"6692","PG","87 min","Drama|Romance","tt0106387","tt0114388","tt0114117","Romantic drama about a young career girl who is swept off her feet by a shy florist, who fell in love with her after one glimpse through a shadowy window."
"70",70,"tt0115676","Big Bully","1996",4.5,"3650","PG","90 min","Comedy|Drama","tt0082418","tt0083972","tt0120694","A writer returns to his hometown where he faces the childhood nemesis whose life he ultimately ruined, only the bully wants to relive their painful past by torturing him once again."
"71",71,"tt0114367","Screamers","1995",6.4,"19673","R","108 min","Action|Sci-Fi|Thriller","tt0118647","tt0104743","tt0160009","(SIRIUS 6B, Year 2078) On a distant mining planet ravaged by a decade of war, scientists have created the perfect weapon: a blade-wielding, self-replicating race of killing devices known as..."
"72",72,"tt0112744","The Crossing Guard","1995",6.4,"10399","R","111 min","Action|Crime|Drama|Thriller","tt0102116","tt0237572","tt0758758","Freddie Gale is a seedy jeweler who has sworn to kill the drunk driver who killed his little girl."
"73",73,"tt0116731","The Juror","1996",5.6,"13707","R","118 min","Drama|Thriller","tt0108551","tt0149151","tt0109635","When Annie Laird is selected as a juror in a big Mafia trial, she is forced by someone known as ""The Teacher"" to persuade the other jurors to vote ""not guilty"". He threatens to kill her son..."
"74",74,"tt0112445","The White Balloon","1995",7.8,"4509","UNRATED","85 min","Children|Drama","tt0499537","tt0051745","tt0037536","Several people try to take advantage of a little girl's innocence to hustle money her mom gave to her to buy a goldfish with."
"75",75,"tt0114660","Things to Do in Denver When You're Dead","1995",6.8,"22005","R","115 min","Crime|Drama|Romance","tt0119468","tt0260866","tt2312718","Five different criminals face imminent death after botching a job quite badly."
"76",76,"tt0112379","Antonia's Line","1995",7.5,"6686","R","102 min","Comedy|Drama","tt0119723","tt0114885","tt0114681","A Dutch matron establishes and, for several generations, oversees a close-knit, matriarchal community where feminism and liberalism thrive."
"77",77,"tt0114039","Once Upon a Time... When We Were Colored","1995",7.3,"411","PG","115 min","Drama|Romance","tt0114388","tt0114117","tt0115644","A narrator tells the story of his childhood years in a tightly knit Afro-American community in the deep south under racial segregation."
"78",78,"tt0113612","Last Summer in the Hamptons","1995",6.1,"301","R","108 min","Comedy|Drama","tt0114885","tt0114681","tt0113118","Filmed entirely on location in East Hampton, Long Island, ""Last Summer in the Hamptons"" concerns a large theatrical family spending the last weekend of their summer together at the ..."
"79",79,"tt0112365","Angels and Insects","1995",7,"3939","R","116 min","Drama|Romance","tt0153464","tt0104779","tt0116209","In the 1800s a naturalist marries into a family of British country gentry."
"80",80,"tt0118158","White Squall","1996",6.6,"17582","PG-13","129 min","Action|Adventure|Drama","tt0103594","tt0955308","tt1528100","Teenage boys discover discipline and camaraderie on an ill-fated sailing voyage."
"81",81,"tt0116151","Dunston Checks In","1996",5.2,"9635","PG","88 min","Children|Comedy","tt0096378","tt0089994","tt0118691","Young boy befriends larcenous orangutan in luxury hotel."
"82",82,"tt0115697","Black Sheep","1996",6.2,"28959","PG-13","87 min","Comedy","tt0105793","tt0114694","tt0106400","A gubernatorial candidate hires a wormy special assistant whose only job is to make sure the candidate's well-meaning but incompetent brother doesn't ruin the election."
"83",83,"tt0113972","Nick of Time","1995",6.3,"31881","R","90 min","Action|Thriller","tt0107843","tt0085255","tt0102004","An unimpressive, every-day man is forced into a situation where he is told to kill a politician to save his kidnapped daughter."
"84",84,"tt0113490","The Journey of August King","1995",6.6,"750","PG-13","91 min","Drama","tt0094347","tt0098219","tt0101898","The Journey of August King is a multi-dimensional drama about a North Carolina farmer in April 1815. August King, a widower, is on his way home as he does every year after selling his ..."
"85",85,"tt0117002","Mary Reilly","1996",5.8,"11694","R","108 min","Drama|Horror|Thriller","tt0094947","tt0120699","tt0091578","A housemaid falls in love with Dr. Jekyll and his darkly mysterious counterpart, Mr. Hyde."
"86",86,"tt0114825","Vampire in Brooklyn","1995",4.5,"16856","R","100 min","Comedy|Horror|Romance","tt0111686","tt0096071","tt0098320","Maximillian is the only survivor from a race of vampires on a Caribbean Island, and as a vampire, he must find a mate to keep the line from ending. He knows that a child had been born to a ..."
"87",87,"tt0115639","Beautiful Girls","1996",7.2,"26154","R","112 min","Comedy|Drama|Romance","tt0110955","tt0123964","tt0108560","A piano player at a crossroads in his life returns home to his friends and their own problems with life and love."
"88",88,"tt0115759","Broken Arrow","1996",6,"75836","R","108 min","Action|Adventure|Thriller","tt0119094","tt0107076","tt0097202","Terrorists steal nuclear warheads from the U.S. military but don't count on a pilot and park ranger spoiling their plans."
"89",89,"tt0113403","A Midwinter's Tale","1995",7.3,"1975","R","99 min","Comedy|Drama","tt0107616","tt0105130","tt0109836","Out of work actor Joe volunteers to help try and save his sister's local church for the community by putting on a Christmas production of Hamlet, somewhat against the advice of his agent ..."
"90",90,"tt0113247","La Haine","1995",8.1,"100288","NOT RATED","98 min","Crime|Drama","tt0228786","tt0290673","tt0082206","24 hours in the lives of three young men in the French suburbs the day after a violent riot."
"91",91,"tt0115907","City Hall","1996",6.2,"16523","R","111 min","Drama|Thriller","tt0098273","tt0107497","tt0120749","The accidental shooting of a boy in New York leads to an investigation by the Deputy Mayor, and unexpectedly far-reaching consequences."
"92",92,"tt0115734","Bottle Rocket","1996",7.1,"53234","R","91 min","Adventure|Comedy|Crime|Romance","tt0362270","tt0838221","tt0128445","Focusing on a trio of friends and their elaborate plan to pull off a simple robbery and go on the run."
"93",93,"tt0117102","Mr. Wrong","1996",3.7,"4253","PG-13","96 min","Comedy","tt0110443","tt0098442","tt0106701","A single and lonely woman finds the seemingly perfect man to date, but soon regrets it when his deranged and possessive other personality emerges and worst still, she cannot convince anyone else of his Jekyll/Hyde true nature."
"94",94,"tt0118040","Unforgettable","1996",6,"3864","R","117 min","Mystery|Sci-Fi|Thriller","tt0110308","tt0105226","tt0128442","Unsuccessfully framed for his wife's murder, Dr. David Krane attempts to find the real culprit by utilizing a new drug that allows him to experience the memories of other people first-hand...."
"95",95,"tt0116483","Happy Gilmore","1996",7,"151975","PG-13","92 min","Comedy","tt0142342","tt0437863","tt0762107","A rejected hockey player puts his skills to the golf course to save his grandmother's house."
"96",96,"tt0112579","The Bridges of Madison County","1995",7.5,"53591","PG-13","135 min","Drama|Romance","tt0107808","tt0405159","tt0118548","Photographer Robert Kincaid wanders into the life of housewife Francesca Johnson, for four days in the 1960s."
"97",97,"tt0117110","Muppet Treasure Island","1996",6.9,"15483","G","99 min","Adventure|Children|Comedy|Musical","tt0104940","tt0076137","tt0361089","The Muppets' twist on the classic tale."
"98",98,"tt0112646","Catwalk","1995",6.4,"166","N/A","95 min","Documentary","tt0107472","tt0109339","tt0109934","A camera follows model Christy Turlington through the spring fashion shows in Milan, Paris, and New York one year in the early 1990s, probably 1992. She and others dash from one designer's ..."
"99",99,"tt0112573","Braveheart","1995",8.4,"718020","R","178 min","Action|Drama|War","tt0335345","tt0472043","tt0113987","When his secret bride is executed for assaulting an English soldier who tried to rape her, William Wallace begins a revolt against King Edward I of England."
"100",100,"tt0075314","Taxi Driver","1976",8.3,"489915","R","113 min","Crime|Drama|Thriller","tt0112641","tt0099685","tt0217505","A mentally unstable Vietnam War veteran works as a night-time taxi driver in New York City where the perceived decadence and sleaze feeds his urge for violent action, attempting to save a preadolescent prostitute in the process."
"101",101,"tt0113326","Rumble in the Bronx","1995",6.7,"28944","R","87 min","Action|Adventure|Comedy|Crime","tt0104558","tt0116704","tt0106544","A young man visiting and helping his uncle in New York City finds himself forced to fight a street gang and the mob with his martial art skills."
"102",102,"tt0115645","Before and After","1996",6.1,"6533","PG-13","108 min","Drama|Mystery","tt0118966","tt0100486","tt0250809","Two parents deal with the effects when their son is accused of murdering his girlfriend."
"103",103,"tt0113774","Margaret's Museum","1995",7.3,"1190","R","114 min","Drama","tt0109836","tt0111742","tt0120520","Margaret MacNiel, a girl living in a Cape Breton coal mining town, finds her life changing when she meets Neil Currie, a cheerful bagpipe-playing dishwasher. Unfortunately, neither of them are able to escape the industry around them."
"104",104,"tt0112556","Happiness Is in the Field","1995",7,"2110","N/A","106 min","Comedy","tt0240149","tt1805297","tt0113756","Francis, the boss of a small plumbing supply company, is harassed by tax collectors, striking employees, and an impossible wife and daughter. His only joy is sharing lunch with his friend ..."
"105",105,"tt0112373","Anne Frank Remembered","1995",8.2,"783","PG","122 min","Documentary","tt0208261","tt0108323","tt0092593","Using previously unreleased archival material in addition to contemporary interviews, this academy award-winning documentary tells the story of the Frank family and presents the first ..."
"106",106,"tt0115033","The Young Poisoner's Handbook","1995",7.1,"2982","R","99 min","Crime|Drama","tt0120801","tt0113277","tt0112641","This film is based on a true story about a British teenager who allegedly poisoned family, friends, and co-workers. Graham is highly intelligent, but completely amoral. He becomes ..."
"107",107,"tt0116606","If Lucy Fell","1996",4.9,"3332","R","92 min","Comedy|Romance","tt0111201","tt0129387","tt0408839","Joe and Lucy are roommates and best friends. Lucy, whose love life is embarrassingly dull, convinces Joe, who is infatuated with a neighbor he's never met, that if they don't have stable ..."
"108",108,"tt0106473","The Boys of St. Vincent","1992",7.8,"1166","N/A","93 min","Drama","tt0112792","tt0114916","tt0110299","The true story of boys being sexually abused at their orphanage ran by a religious community in Newfoundland."
"109",109,"tt0103859","Boomerang","1992",5.4,"19684","R","117 min","Comedy|Romance","tt0099800","tt0116448","tt0213790","A successful executive and womanizer finds his lifestyle choices have turned back on him when his new female boss turns out to be an even bigger deviant than he is."
"110",110,"tt0109424","Chungking Express","1994",8.1,"38919","PG-13","102 min","Drama|Mystery|Romance","tt0212712","tt0109688","tt0112913","Two melancholy Hong Kong policemen fall in love: one with a mysterious female underworld figure, the other with a beautiful and ethereal server at a late-night restaurant he frequents."
"111",111,"tt0114808","The Star Maker","1995",7.3,"3624","R","113 min","Drama","tt0120731","tt0213847","tt0095765","A photographer and the types of people he encounters."
"112",112,"tt0116324","Flirting with Disaster","1996",6.8,"14863","R","92 min","Comedy","tt0120188","tt0356721","tt1045658","A young man, his wife, and his incompetent case worker travel across country to find his birth parents."
"113",113,"tt0110647","The Neverending Story III","1994",3.1,"8087","G","95 min","Adventure|Children|Fantasy","tt0116552","tt0048960","tt0066817","A young boy must restore order when a group of bullies steal the magical book that acts as a portal between Earth and the imaginary world of Fantasia."
"114",114,"tt0114131","Pie in the Sky","1996",5.9,"720","R","95 min","Comedy|Romance","tt0111418","tt0118113","tt0095927","A whimsical saga of a young man whose two life-consuming passions are unraveling traffic gridlock and an avant-garde dancer. A romantic comedy."
"115",115,"tt0113107","Frankie Starlight","1995",6.7,"739","R","101 min","Drama|Romance","tt0102573","tt0110322","tt0117093","This is a story of a man (Walker), suffering from dwarfism, who writes an autobiographical account of his life. In flashbacks, we see how he was conceived to a woman (Parillaud) at the end ..."
"116",116,"tt0113451","Jade","1995",5.1,"9022","R","95 min","Thriller","tt0067116","tt0160797","tt0080569","A bright assistant D.A. investigates a gruesome hatchet murder and hides a clue he found at the crime scene. Under professional threats and an attempt on his life, he goes on heartbroken because evidence point to the woman he still loves."
"117",117,"tt0116130","Down Periscope","1996",6,"16562","PG-13","92 min","Comedy","tt0097815","tt0102216","tt0110442","Lt. Cmdr. Tom Dodge is assigned as Captain to the USS Stingray, an old diesel driven submarine that has seen better days. With a crew that consists only of weird guys (and a gal), he's ..."
"118",118,"tt0113756","Man of the Year","1995",6.1,"297","N/A","86 min","Documentary","tt0112556","tt0105652","tt0070506","Mockumentary look at Playgirl Magazine centerfold and 1992 Man of the Year, Dirk Shafer, who kept it a secret from the magazine that he is gay. Most of the film is a fictionalized retelling..."
"119",119,"tt0113952","The Neon Bible","1995",6.1,"601","N/A","91 min","Drama","tt0200720","tt0095037","tt1232790","While on a train, a teenage boy thinks about his life and the flamboyant aunt whose friendship acted as an emotional shield from his troubled family. This film evokes the haunting quality ..."
"120",120,"tt0118055","Up Close & Personal","1996",6.1,"11183","PG-13","124 min","Drama|Romance","tt0111667","tt0101921","tt0117071","An ambitious young woman, determined to build a career in TV journalism, gets good advice from her first boss, and they fall in love."
